site_name,site_url,category,headline,subhead,primary_cta,secondary_cta,nav_labels,proof_markers_above_fold,case_studies_present,writing_present,services_positioning_present,testimonials_present,client_logos_present,metrics_outcomes_present,about_bio_present,contact_present,newsletter_present,now_present,process_present,toolstack_present,clarity_score,specificity_score,credibility_score,skimmability_score,notes
robleto.com,https://robleto.com,Individual portfolio / design-technology,"Greg Robleto","I untangle messy digital systems and make them intentionally designed.",Portfolio,Projects,"Portfolio|Projects|Art|Resources|Writing|Lists|About|Library|Reading List|Bookmarks|Following|Contact|Social","Named person identity, profile image, multi-platform social links",yes,yes,partial,no,no,no,yes,yes,no,no,no,no,4,3,3,4,"Content-rich identity and exploration depth; explicit proof/conversion modules are lighter."
Dan Mall,https://danmall.com,Design systems educator and practitioner,"Showing you how to use design to live a better life.","Design systems, process, and leadership guidance with products and resources.",Subscribe,Products,"Products|Free Resources|Posts|About|Newsletter","66,800+ subscribers, recognizable company logos, founder/author identity",no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,5,4,5,4,"Strong blend of teaching, writing, and practical offerings."
Ethan Marcotte,https://ethanmarcotte.com,Designer and writer,"Hi, I’m Ethan.","Designer and writer focused on accessible web experiences and design systems.",Journal,Work,"Journal|Books|Work|Links|Contact|Colophon","Coined responsive design; books, clients, and long-standing speaking/writing record",yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,5,4,5,4,"Work + writing + thought leadership with clear credibility."
Brad Frost,https://bradfrost.com,Designer/developer and design systems consultant,"i make things and help people.","Creator, designer, developer, teacher, speaker, writer, and musician.",Contact,Blog,"course|training|book|blog|contact","Atomic Design authority and clear consulting/training offer",yes,yes,yes,no,no,no,yes,yes,no,no,no,no,5,4,4,4,"Strong practical CTA structure and clear positioning."
Frank Chimero,https://frankchimero.com,Designer and writer,"Frank Chimero — Designing & writing","Designer from New York; currently on sabbatical researching creative tooling.",Email me,Subscribe,"Writing|About|Newsletter","Known book/essays, previous leadership roles, visible writing corpus",no,yes,no,no,no,no,yes,yes,yes,yes,no,no,5,4,5,4,"Editorial-forward personal site with clear voice and recency."
Josh W Comeau,https://www.joshwcomeau.com,Frontend educator and writer,"Josh W Comeau","Articles/tutorials, interactive courses, and frontend education content.",Read tutorial,Join newsletter,"Articles|Categories|Popular|Courses|About|Contact","High-output tutorial archive and course ecosystem",no,yes,no,no,no,no,yes,yes,yes,no,no,no,5,4,5,5,"Extremely strong writing/teaching discoverability."
Maggie Appleton,https://maggieappleton.com,Designer/anthropologist writer,"Maggie makes visual essays about programming, design, and anthropology.","Designer and anthropologist exploring AI and software engineering.",Read essays,The Garden,"Garden|Essays|Notes|Now|Patterns|About","Distinct thematic lens, active notes/essays, explicit now page",no,yes,no,no,no,no,yes,no,no,yes,no,no,5,5,5,4,"Excellent work+writing+exploration archetype."
Lynn Fisher,https://lynnandtonic.com,Web designer and maker,"Lynn Fisher","Designer for the web.",Work,Thoughts,"About|Work|Thoughts|Archive|RSS|GIFs","Long-running personal site and recognizable web craft identity",yes,yes,no,no,no,no,yes,no,no,no,no,no,5,4,5,5,"Strong inspiration benchmark for expressive personal web craft."
Brian Lovin,https://brianlovin.com,Software designer and builder,"Brian Lovin","Software designer in San Francisco building AI products at Notion.",Writing,Projects,"Writing|Projects|Stack|TIL|AMA|Listening","Clear maker identity with many public projects and tools",yes,yes,no,no,no,no,yes,no,no,no,no,yes,4,4,4,5,"Balanced portfolio of projects and ongoing writing."
Cassidy Williams,https://cassidoo.co,Engineer and writer,"Cassidy Williams","Software engineer in Chicago with active blog/newsletter presence.",Read blog,Newsletter,"home|newsletter|blog|github|bluesky|linkedin","Visible role credibility and consistent publishing cadence",no,yes,no,no,no,no,yes,yes,yes,no,no,no,5,3,4,4,"Strong writing community pattern with clear subscribe path."
